,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Rank_11,Rank_12,Rank_13,Rank_14
4mC_A.thaliana,NCP,ENAC,binary,EIIP,CKSNAP,Kmer4,RCKmer5,TNC,SCPseTNC,PCPseTNC,PseEIIP,TAC,NAC,ANF
4mC_C.elegans,ENAC,binary,NCP,EIIP,Kmer4,CKSNAP,TNC,SCPseTNC,PCPseTNC,RCKmer5,PseEIIP,TAC,NAC,ANF
4mC_D.melanogaster,NCP,binary,ENAC,EIIP,CKSNAP,Kmer4,TNC,PseEIIP,SCPseTNC,PCPseTNC,RCKmer5,TAC,ANF,NAC
4mC_E.coli,ENAC,binary,NCP,Kmer4,TNC,SCPseTNC,PseEIIP,RCKmer5,CKSNAP,PCPseTNC,EIIP,TAC,ANF,NAC
4mC_G.subterraneus,CKSNAP,SCPseTNC,Kmer4,PCPseTNC,PseEIIP,TNC,RCKmer5,ENAC,NCP,binary,NAC,EIIP,TAC,ANF
4mC_G.pickeringii,binary,ENAC,NCP,CKSNAP,Kmer4,RCKmer5,SCPseTNC,PCPseTNC,TNC,PseEIIP,EIIP,NAC,TAC,ANF
