,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Rank_11,Rank_12,Rank_13,Rank_14
4mC_A.thaliana,ENAC,binary,NCP,CKSNAP,EIIP,Kmer4,RCKmer5,SCPseTNC,PseEIIP,PCPseTNC,TNC,NAC,TAC,ANF
4mC_C.elegans,ENAC,binary,NCP,CKSNAP,Kmer4,RCKmer5,SCPseTNC,TNC,EIIP,PseEIIP,PCPseTNC,TAC,NAC,ANF
4mC_D.melanogaster,binary,ENAC,NCP,EIIP,CKSNAP,Kmer4,SCPseTNC,PseEIIP,PCPseTNC,TNC,RCKmer5,TAC,ANF,NAC
4mC_E.coli,ENAC,NCP,binary,RCKmer5,Kmer4,SCPseTNC,EIIP,CKSNAP,TNC,PCPseTNC,PseEIIP,TAC,ANF,NAC
4mC_G.subterraneus,CKSNAP,Kmer4,RCKmer5,TNC,PCPseTNC,PseEIIP,SCPseTNC,binary,NCP,ENAC,NAC,TAC,EIIP,ANF
4mC_G.pickeringii,NCP,binary,ENAC,CKSNAP,RCKmer5,Kmer4,SCPseTNC,PCPseTNC,PseEIIP,TNC,EIIP,NAC,TAC,ANF
