,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Rank_11,Rank_12,Rank_13,Rank_14
4mC_A.thaliana,NCP,binary,ENAC,EIIP,CKSNAP,Kmer4,SCPseTNC,PCPseTNC,TNC,PseEIIP,RCKmer5,TAC,ANF,NAC
4mC_C.elegans,ENAC,NCP,binary,EIIP,CKSNAP,Kmer4,RCKmer5,TNC,PCPseTNC,PseEIIP,SCPseTNC,TAC,ANF,NAC
4mC_D.melanogaster,NCP,ENAC,binary,EIIP,CKSNAP,Kmer4,SCPseTNC,TNC,PCPseTNC,PseEIIP,RCKmer5,ANF,TAC,NAC
4mC_E.coli,ENAC,binary,NCP,RCKmer5,Kmer4,TNC,SCPseTNC,CKSNAP,PseEIIP,PCPseTNC,EIIP,TAC,NAC,ANF
4mC_G.subterraneus,PseEIIP,CKSNAP,Kmer4,SCPseTNC,PCPseTNC,TNC,RCKmer5,ENAC,binary,NCP,TAC,EIIP,NAC,ANF
4mC_G.pickeringii,NCP,binary,ENAC,CKSNAP,Kmer4,RCKmer5,SCPseTNC,TNC,PCPseTNC,PseEIIP,EIIP,NAC,TAC,ANF
