combination,ACC,SN,SP,F1,MCC,AUC
full,0.9650793650793651,0.9693121693121693,0.9608465608465608,0.9652265542676501,0.9301920625730865,0.9924011085915847
CNN,0.9664021164021164,0.9698412698412698,0.9629629629629629,0.9665172686527814,0.932826299586979,0.9928996948573668
BLSTM,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.8962962962962963,0.9875373029870385
Transformer,0.9677248677248678,0.9703703703703703,0.9650793650793651,0.9678100263852242,0.9354628295593161,0.9918815262730606
