combination,ACC,SN,SP,F1,MCC,AUC
full,0.9504669954874594,0.9589935984888236,0.9419403924860951,0.9508857730027834,0.9010650206879066,0.9876844973605767
CNN,0.950139049218176,0.9586262986672264,0.9416517997691258,0.9505586701179776,0.9004078266618545,0.9875352954022154
BLSTM,0.943212824010914,0.9525920873124147,0.9338335607094134,0.9437404967055245,0.8865816479501547,0.9849762827220649
Transformer,0.9483812572148179,0.9580228775317452,0.9387396368978906,0.9488741928358907,0.8969292885388954,0.9864264914793962
