combination,ACC,SN,SP,F1,MCC,AUC
full,0.9150731439412851,0.919366917968945,0.9107793699136253,0.9154362416107383,0.8301768995521333,0.9711121037608952
CNN,0.9152104448549603,0.9198162664137002,0.9106046232962205,0.9155991799714233,0.8304561243725666,0.9710765837186985
BLSTM,0.9042762993659195,0.908233062060013,0.9003195366718258,0.9046535625924683,0.8085779172731077,0.9655886664670741
Transformer,0.9136502071995606,0.9175944879924111,0.9097059264067102,0.9139894569325643,0.8273261568063921,0.9693681044007983
