combination,ACC,SN,SP,F1,MCC,AUC
full,0.9045231855987239,0.9020054694621695,0.9070403280929596,0.9042723326479324,0.8090564260063999,0.9624362347818664
CNN,0.8975732026888459,0.8994986326344576,0.8956482114376851,0.8977595814852725,0.7951524591870556,0.9579471488865531
BLSTM,0.9003076221943717,0.8990428441203282,0.9015721120984279,0.9001711351968055,0.8006176999253509,0.958049231390401
Transformer,0.9028141734077703,0.9006381039197813,0.9049897470950102,0.9025922119447299,0.8056357990960714,0.9609955006850847
