combination,ACC,SN,SP,F1,MCC,AUC
full,0.957672799602188,0.9587062895333572,0.9566393507836741,0.9577156936772245,0.915347561133371,0.9910415926688807
CNN,0.9565987071108901,0.9587062895333572,0.9544912085289203,0.9566891623660183,0.9132055405693557,0.9908436527950942
BLSTM,0.9527200397812033,0.9549667820344512,0.9504733869042883,0.9528251334669656,0.9054492364600493,0.9899116055092957
Transformer,0.9537344604674292,0.9546883080717667,0.9527806508075424,0.9537776717936489,0.9074705788153723,0.9895066213852678
