combination,ACC,SN,SP,F1,MCC,AUC
full,0.9849151477058454,0.989937106918239,0.9798994974874372,0.9849812265331666,0.9698795190217606,0.998298094244809
CNN,0.9817724701445631,0.9874213836477987,0.9761306532663316,0.9818636647904941,0.9636068563471546,0.9979393824468253
BLSTM,0.983029541169076,0.989937106918239,0.9761306532663316,0.9831355402873205,0.9661517345450448,0.9971492683543504
Transformer,0.9817724701445631,0.9861635220125786,0.9773869346733668,0.9818409517845962,0.9635824334990449,0.9983486615467273
