Dataset,ACC,SN,SP,F1,MCC,AUC
4mC_A.thaliana,0.879184,0.894910,0.863458,0.881055,0.758744,0.948894
4mC_C.elegans,0.928912,0.955545,0.902280,0.930757,0.859044,0.982501
4mC_D.melanogaster,0.924857,0.954464,0.895250,0.927018,0.851208,0.978078
4mC_E.coli,0.968750,0.962500,0.975000,0.968553,0.937573,0.995625
4mC_G.subterraneus,0.851210,0.851657,0.850762,0.851276,0.702419,0.928438
4mC_G.pickeringii,0.911994,0.919522,0.904465,0.912651,0.824081,0.970601
