fold,train_acc,train_sn,train_sp,train_f1,train_mcc,train_auc,val_acc,val_sn,val_sp,val_f1,val_mcc,val_auc,time
1,0.982337,0.983594,0.981080,0.982359,0.964676,0.999064,0.973016,0.975661,0.970370,0.973087,0.946045,0.993263,5.773346
2,0.981015,0.983064,0.978965,0.981052,0.962038,0.999036,0.973538,0.974074,0.973002,0.973559,0.947076,0.990859,5.883553
3,0.980287,0.981080,0.979495,0.980301,0.960575,0.999020,0.975390,0.979894,0.970884,0.975507,0.950819,0.994580,6.134859
4,0.979956,0.982537,0.977375,0.980009,0.959925,0.998985,0.977243,0.979354,0.975132,0.977285,0.954494,0.994308,7.429403
5,0.981412,0.983596,0.979227,0.981453,0.962832,0.998991,0.974067,0.973531,0.974603,0.974047,0.948135,0.994223,5.968126
