fold,train_acc,train_sn,train_sp,train_f1,train_mcc,train_auc,val_acc,val_sn,val_sp,val_f1,val_mcc,val_auc,time
1,0.952377,0.953764,0.950990,0.952442,0.904757,0.989248,0.952481,0.953298,0.951665,0.952521,0.904964,0.989980,82.853275
2,0.952048,0.953893,0.950204,0.952137,0.904103,0.989214,0.954391,0.954809,0.953972,0.954411,0.908782,0.990313,83.906183
3,0.951153,0.952471,0.949835,0.951218,0.902310,0.988963,0.955922,0.958110,0.953735,0.956018,0.911854,0.990622,57.798377
4,0.952188,0.953744,0.950631,0.952262,0.904380,0.989142,0.953476,0.956638,0.950314,0.953622,0.906970,0.990084,80.149498
5,0.951701,0.953297,0.950104,0.951778,0.903406,0.988998,0.954370,0.955444,0.953296,0.954419,0.908742,0.990625,89.745265
