fold,train_acc,train_sn,train_sp,train_f1,train_mcc,train_auc,val_acc,val_sn,val_sp,val_f1,val_mcc,val_auc,time
1,0.904259,0.904170,0.904347,0.904248,0.808517,0.965679,0.898599,0.902483,0.894713,0.899001,0.797221,0.960453,10.538467
2,0.903575,0.903492,0.903658,0.903569,0.807150,0.965261,0.904979,0.906335,0.903623,0.905098,0.809961,0.964298,10.328821
3,0.904803,0.904746,0.904860,0.904797,0.809605,0.965822,0.900752,0.893118,0.908387,0.899989,0.801598,0.961157,11.878017
4,0.902324,0.901840,0.902809,0.902277,0.804649,0.963706,0.904626,0.904968,0.904284,0.904659,0.809253,0.965409,10.425018
5,0.905144,0.904461,0.905828,0.905080,0.810290,0.965867,0.902461,0.903829,0.901094,0.902594,0.804926,0.963340,10.646716
