fold,train_acc,train_sn,train_sp,train_f1,train_mcc,train_auc,val_acc,val_sn,val_sp,val_f1,val_mcc,val_auc,time
1,0.912071,0.921838,0.902304,0.912922,0.824300,0.967618,0.912065,0.922462,0.901668,0.912970,0.824308,0.968511,98.042161
2,0.912059,0.921801,0.902317,0.912907,0.824274,0.967654,0.912340,0.922637,0.902042,0.913233,0.824854,0.969602,91.934963
3,0.911581,0.921408,0.901755,0.912442,0.823322,0.967492,0.913014,0.925308,0.900719,0.914070,0.826277,0.969544,114.233133
4,0.911588,0.921707,0.901468,0.912473,0.823344,0.967209,0.914137,0.923436,0.904838,0.914928,0.828417,0.970583,130.379235
5,0.911619,0.922350,0.900887,0.912557,0.823427,0.967126,0.912752,0.920690,0.904813,0.913439,0.825607,0.969682,134.502162
