fold,train_acc,train_sn,train_sp,train_f1,train_mcc,train_auc,val_acc,val_sn,val_sp,val_f1,val_mcc,val_auc,time
1,0.999686,0.999686,0.999686,0.999686,0.999371,0.999999,0.998743,0.998744,0.998742,0.998744,0.997486,0.999984,4.347019
2,0.999686,0.999686,0.999686,0.999686,0.999371,1.000000,0.997486,0.997484,0.997487,0.997484,0.994972,0.999769,3.574079
3,0.999528,0.999371,0.999686,0.999528,0.999057,1.000000,0.996855,0.996226,0.997484,0.996853,0.993711,0.999816,3.596020
4,0.999528,0.999371,0.999686,0.999528,0.999057,0.999998,0.994340,0.996226,0.992453,0.994350,0.988686,0.999766,3.577748
5,0.999843,0.999686,1.000000,0.999843,0.999686,1.000000,0.999371,1.000000,0.998742,0.999371,0.998743,1.000000,3.542761
